"cluster","avg_confirmed_cases","avg_deaths","avg_median_income","avg_income_per_capita","avg_rent_index","total_population"
"1",2408.53448275862,48.5387931034483,48974.3793103448,24477.7198275862,356.772335423197,7092329
"2",114644.8,1684.4,53044.4,26333.6,16813.3272727273,6726627
"3",32364.6,427.866666666667,62297.8,29535.0666666667,4687.13939393939,6522924
"4",260490.5,3139,55708.5,30333,52639.6363636364,7077732
